date,open,high,low,close,volume,change
1999-11-01,136.5,137.0,135.5625,135.5625,4006500.0,-0.006868131868131868
1999-11-02,135.9687,137.25,134.5937,134.5937,6516900.0,-0.01011262150774406
1999-11-03,136.0,136.375,135.125,135.5,7222300.0,-0.003676470588235294
1999-11-04,136.75,137.3593,135.7656,136.5312,7907500.0,-0.0015999999999999081
1999-11-05,138.625,139.1093,136.7812,137.875,7431500.0,-0.005410279531109108
1999-11-08,137.0,138.375,136.75,138.0,4649200.0,0.0072992700729927005
1999-11-09,138.5,138.6875,136.2812,136.7031,4533700.0,-0.012974007220216561
1999-11-10,136.25,138.3906,136.0781,137.7187,6405600.0,0.010779449541284496
1999-11-11,138.1875,138.5,137.4687,138.5,4794100.0,0.002261420171867933
1999-11-12,139.25,139.9843,137.125,139.75,11802900.0,0.003590664272890485
1999-11-15,139.8437,140.25,139.4062,140.0781,2187500.0,0.0016761570238773267
1999-11-16,140.5625,143.0,140.0937,141.25,7544800.0,0.004891062694530902
1999-11-17,142.25,142.9375,141.3125,141.625,9459000.0,-0.004393673110720563
1999-11-18,142.4375,143.0,141.625,142.625,4491000.0,0.0013163668275559457
1999-11-19,142.4062,142.9687,142.0,142.5,4832100.0,0.0006586791867207146
1999-11-22,142.4375,143.0,141.5,142.4687,4155400.0,0.00021904344010539748
1999-11-23,142.8437,142.8437,140.375,141.2187,5918000.0,-0.011376070488232942
1999-11-24,140.75,142.4375,140.0,141.9687,4459700.0,0.00865861456483135
1999-11-26,142.4687,142.875,141.25,141.4375,1693900.0,-0.007238081066227265
1999-11-29,140.875,141.9218,140.4375,140.9375,7348600.0,0.00044365572315882877
1999-11-30,140.75,142.3125,139.0,139.2812,7682000.0,-0.010435523978685524
1999-12-01,139.3125,140.5,139.0,140.4062,6980200.0,0.007850695379093855
1999-12-02,140.625,141.375,140.375,141.25,6698300.0,0.0044444444444444444
1999-12-03,143.0312,145.3437,143.0312,143.8437,10045400.0,0.005680578782811023
1999-12-06,143.5312,143.7187,142.25,142.7812,3138900.0,-0.005225344733409879
1999-12-07,143.2812,143.3125,141.375,141.625,10714200.0,-0.011559088003171472
1999-12-08,141.3437,142.0625,140.5,140.7187,4611400.0,-0.004421845473126853
1999-12-09,141.8125,142.2187,139.375,141.4062,6474700.0,-0.002865050683120229
