Date,Count
2016-12-28,18
2016-12-29,6
2016-12-30,14
2016-12-31,27
2017-01-01,6
2017-01-02,10
2017-01-03,5
2017-01-04,16
2017-01-05,13
2017-01-06,50
2017-01-07,11
2017-01-08,26
2017-01-09,63
2017-01-10,46
2017-01-11,58
2017-01-12,46
2017-01-13,82
2017-01-14,3
2017-01-15,7
2017-01-16,28
2017-01-17,74
2017-01-18,45
2017-01-19,97
2017-01-20,17
2017-01-21,12
2017-01-22,12
2017-01-23,27
2017-01-24,9
2017-01-25,34
2017-01-26,47
2017-01-27,120
2017-01-28,15
2017-01-29,25
2017-01-30,40
2017-01-31,46
2017-02-01,34
2017-02-02,39
2017-02-03,24
2017-02-04,35
2017-02-05,12
2017-02-06,40
2017-02-07,70
2017-02-08,51
2017-02-09,37
2017-02-10,47
2017-02-11,26
2017-02-12,19
2017-02-13,54
2017-02-14,44
2017-02-15,33
2017-02-16,51
2017-02-17,46
2017-02-18,70
2017-02-19,21
2017-02-20,20
2017-02-21,81
2017-02-22,36
2017-02-23,79
2017-02-24,49
2017-02-25,8
2017-02-26,8
2017-02-27,55
2017-02-28,55
2017-03-01,71
2017-03-02,81
2017-03-03,70
2017-03-04,4
2017-03-05,19
2017-03-06,9
2017-03-07,98
2017-03-08,30
2017-03-09,46
2017-03-10,32
2017-03-11,40
2017-03-12,22
2017-03-13,66
2017-03-14,27
2017-03-15,100
2017-03-16,75
2017-03-17,37
2017-03-18,21
2017-03-19,4
2017-03-20,75
2017-03-21,113
2017-03-22,36
2017-03-23,35
2017-03-24,19
2017-03-25,30
2017-03-26,13
2017-03-27,15
2017-03-28,94
2017-03-29,28
2017-03-30,65
2017-03-31,23
2017-04-01,3
2017-04-02,19
2017-04-03,31
2017-04-04,31
2017-04-05,60
2017-04-06,58
2017-04-07,35
2017-04-08,21
2017-04-09,17
2017-04-10,22
2017-04-11,39
2017-04-12,56
2017-04-13,11
2017-04-14,10
2017-04-15,12
2017-04-16,8
2017-04-17,14
2017-04-18,16
2017-04-19,36
2017-04-20,17
2017-04-21,23
2017-04-22,14
2017-04-23,34
2017-04-24,13
2017-04-25,34
2017-04-26,27
2017-04-27,27
2017-04-28,12
2017-04-29,3
2017-04-30,15
2017-05-01,16
2017-05-02,25
2017-05-03,74
2017-05-04,25
2017-05-05,22
2017-05-06,14
2017-05-07,13
2017-05-08,76
2017-05-09,75
2017-05-10,47
2017-05-11,25
2017-05-12,31
2017-05-13,3
2017-05-14,13
2017-05-15,23
2017-05-16,26
2017-05-17,24
2017-05-18,35
2017-05-19,80
2017-05-20,6
2017-05-21,14
2017-05-22,13
2017-05-23,35
2017-05-24,18
2017-05-25,26
2017-05-26,17
2017-05-27,11
2017-05-28,4
2017-05-29,12
2017-05-30,6
2017-05-31,25
2017-06-01,13
2017-06-02,20
2017-06-03,7
2017-06-04,5
2017-06-05,37
2017-06-06,78
2017-06-07,20
2017-06-08,36
2017-06-09,51
2017-06-10,12
2017-06-11,6
2017-06-12,21
2017-06-13,42
2017-06-14,21
2017-06-15,39
2017-06-16,35
2017-06-17,9
2017-06-18,12
2017-06-19,16
2017-06-20,30
2017-06-21,28
2017-06-22,50
2017-06-23,32
2017-06-24,62
2017-06-25,26
2017-06-26,51
2017-06-27,24
2017-06-28,40
2017-06-29,39
2017-06-30,28
2017-07-01,23
2017-07-02,13
2017-07-03,15
2017-07-04,14
2017-07-05,23
2017-07-06,10
2017-07-07,15
2017-07-08,20
2017-07-09,7
2017-07-10,37
2017-07-11,19
2017-07-12,21
2017-07-13,83
2017-07-14,49
2017-07-15,5
2017-07-16,20
2017-07-17,16
2017-07-18,32
2017-07-19,13
2017-07-20,23
2017-07-21,53
2017-07-22,2
2017-07-23,9
2017-07-24,16
2017-07-25,34
2017-07-26,67
2017-07-27,34
2017-07-28,24
2017-07-29,2
2017-07-30,10
2017-07-31,22
2017-08-01,22
2017-08-02,38
2017-08-03,39
2017-08-04,19
2017-08-05,20
2017-08-06,22
2017-08-07,14
2017-08-08,21
2017-08-09,27
2017-08-10,37
2017-08-11,41
2017-08-12,1
2017-08-13,7
2017-08-14,17
2017-08-15,23
2017-08-16,20
2017-08-17,23
2017-08-18,9
2017-08-19,2
2017-08-20,7
2017-08-21,20
2017-08-22,41
2017-08-23,17
2017-08-24,41
2017-08-25,45
2017-08-26,6
2017-08-27,6
2017-08-28,12
2017-08-29,13
2017-08-30,21
2017-08-31,19
2017-09-01,13
2017-09-02,7
2017-09-03,10
2017-09-04,4
2017-09-05,25
2017-09-06,13
2017-09-07,12
2017-09-08,24
2017-09-09,17
2017-09-10,22
2017-09-11,35
2017-09-12,14
2017-09-13,33
2017-09-14,78
2017-09-15,36
2017-09-16,12
2017-09-17,9
2017-09-18,20
2017-09-19,28
2017-09-20,24
2017-09-21,21
2017-09-22,28
2017-09-23,13
2017-09-24,24
2017-09-25,12
2017-09-26,24
2017-09-27,80
2017-09-28,67
2017-09-29,28
2017-09-30,8
2017-10-01,15
2017-10-02,36
2017-10-03,18
2017-10-04,20
2017-10-05,15
2017-10-06,90
2017-10-07,6
2017-10-08,2
2017-10-09,27
2017-10-10,46
2017-10-11,41
2017-10-12,33
2017-10-13,23
2017-10-14,1
2017-10-15,14
2017-10-16,113
2017-10-17,21
2017-10-18,19
2017-10-19,19
2017-10-20,17
2017-10-21,9
2017-10-22,2
2017-10-23,36
2017-10-24,26
2017-10-25,32
2017-10-26,40
2017-10-27,20
2017-10-28,10
2017-10-29,11
2017-10-30,21
2017-10-31,34
2017-11-01,27
2017-11-02,77
2017-11-03,41
2017-11-04,8
2017-11-05,2
2017-11-06,12
2017-11-07,40
2017-11-08,26
2017-11-09,34
2017-11-10,9
2017-11-11,2
2017-11-12,9
2017-11-13,33
2017-11-14,34
2017-11-15,31
2017-11-16,17
2017-11-17,24
2017-11-18,10
2017-11-19,3
2017-11-20,41
2017-11-21,9
2017-11-22,44
2017-11-23,13
2017-11-24,3
2017-11-25,3
2017-11-26,6
2017-11-27,13
2017-11-28,8
2017-11-29,21
2017-11-30,15
2017-12-01,18
2017-12-02,13
2017-12-03,10
2017-12-04,29
2017-12-05,20
2017-12-06,13
2017-12-07,43
2017-12-08,23
2017-12-09,26
2017-12-10,21
2017-12-11,1
2017-12-12,31
2017-12-13,17
2017-12-14,10
2017-12-15,14
2017-12-16,3
2017-12-17,5
2017-12-18,26
