Date,Neg_Count
2020-02-19,25
2020-02-18,28
2020-02-17,2
2020-02-16,1
2020-02-15,8
2020-02-14,9
2020-02-13,5
2020-02-12,16
2020-02-11,11
2020-02-10,4
2020-02-09,22
2020-02-08,23
2020-02-07,26
2020-02-06,6
2020-02-05,9
2020-02-04,19
2020-02-03,8
2020-02-02,24
2020-02-01,2
2020-01-31,13
2020-01-30,7
2020-01-29,17
2020-01-28,17
2020-01-27,10
2020-01-26,22
2020-01-25,31
2020-01-24,27
2020-01-23,15
2020-01-22,50
2020-01-20,9
2020-01-19,11
2020-01-18,4
2020-01-17,16
2020-01-16,5
2020-01-15,7
2020-01-14,4
2020-01-13,14
2020-01-12,15
2020-01-11,13
2020-01-10,13
2020-01-09,8
2020-01-08,1
2020-01-07,8
2020-01-06,5
2020-01-05,1
2020-01-04,1
2020-01-03,12
2020-01-02,10
2020-01-01,4
2019-12-31,12
2019-12-30,2
2019-12-29,2
2019-12-28,16
2019-12-27,9
2019-12-26,17
2019-12-25,2
2019-12-24,9
2019-12-23,23
2019-12-22,1
2019-12-21,4
2019-12-20,10
2019-12-19,32
2019-12-18,27
2019-12-17,9
2019-12-16,34
2019-12-15,21
2019-12-14,14
2019-12-13,11
2019-12-12,37
2019-12-11,35
2019-12-10,21
2019-12-08,47
2019-12-07,25
2019-12-06,11
2019-12-05,4
2019-12-04,14
2019-12-03,17
2019-12-02,13
2019-12-01,1
2019-11-30,4
2019-11-28,2
2019-11-26,10
2019-11-25,6
2019-11-24,15
2019-11-23,9
2019-11-22,11
2019-11-21,18
2019-11-20,12
2019-11-19,21
2019-11-18,10
2019-11-17,16
2019-11-16,7
2019-11-15,14
2019-11-14,12
2019-11-13,16
2019-11-12,8
2019-11-11,9
2019-11-10,14
2019-11-09,14
2019-11-07,9
2019-11-06,11
2019-11-05,7
2019-11-04,15
2019-11-03,9
2019-11-02,16
2019-11-01,17
2019-10-31,25
2019-10-30,19
2019-10-29,34
2019-10-28,4
2019-10-27,1
2019-10-26,22
2019-10-25,19
2019-10-24,7
2019-10-23,10
2019-10-22,27
2019-10-21,1
2019-10-20,6
2019-10-19,27
2019-10-18,7
2019-10-17,10
2019-10-16,9
2019-10-15,5
2019-10-14,11
2019-10-13,12
2019-10-12,15
2019-10-11,20
