day,favorites
2016-11-16,394545
2016-11-17,80424
2016-11-18,340844
2016-11-19,354349
2016-11-20,315201
2016-11-21,84745
2016-11-22,518751
2016-11-23,112344
2016-11-24,416339
2016-11-26,171957
2016-11-27,691133
2016-11-28,209415
2016-11-29,635008
2016-11-30,490073
2016-12-01,184796
2016-12-02,60680
2016-12-03,342152
2016-12-04,531814
2016-12-05,229824
2016-12-06,312721
2016-12-07,144246
2016-12-08,202569
2016-12-09,83114
2016-12-10,296338
2016-12-11,177158
2016-12-12,376357
2016-12-13,368078
2016-12-14,83190
2016-12-15,246927
2016-12-16,202035
2016-12-17,178550
2016-12-18,211281
2016-12-19,279182
2016-12-20,258418
2016-12-21,168375
2016-12-22,255287
2016-12-23,369998
2016-12-24,281600
2016-12-25,310293
2016-12-26,245935
2016-12-27,198224
2016-12-28,392180
2016-12-29,37533
2016-12-30,168324
2016-12-31,346672
2017-01-01,108920
2017-01-02,393165
2017-01-03,480914
2017-01-04,525195
2017-01-05,353179
2017-01-06,606256
2017-01-07,487252
2017-01-08,235942
2017-01-09,610259
2017-01-10,192120
2017-01-11,429611
2017-01-12,457100
2017-01-13,525019
2017-01-14,194613
2017-01-15,610996
2017-01-16,223751
2017-01-17,661811
2017-01-18,482923
2017-01-19,661500
2017-01-20,1623254
2017-01-21,407505
2017-01-22,826405
2017-01-23,153674
2017-01-24,427347
2017-01-25,948277
2017-01-26,827391
2017-01-27,719908
2017-01-28,397006
2017-01-29,819826
2017-01-30,918695
2017-01-31,389755
2017-02-01,566113
2017-02-02,871034
2017-02-03,925798
2017-02-04,1167210
2017-02-05,572403
2017-02-06,598483
2017-02-07,453867
2017-02-08,955873
2017-02-09,740952
2017-02-10,301139
2017-02-11,736405
2017-02-12,686772
2017-02-13,210099
2017-02-14,389765
2017-02-15,839720
2017-02-16,556404
2017-02-17,648445
2017-02-18,326328
2017-02-19,94245
2017-02-20,416762
2017-02-21,269801
2017-02-22,166777
2017-02-23,47681
2017-02-24,431787
2017-02-25,738261
2017-02-26,348789
2017-02-27,135860
2017-02-28,70547
2017-03-01,257391
2017-03-02,150187
2017-03-03,953081
2017-03-04,784170
2017-03-05,333156
2017-03-06,316781
2017-03-07,649797
2017-03-08,463293
2017-03-09,200255
