date,change,Date,Neg_Count,Pos_Count,Sent_Count,Count,pos_neg,pos,neg,flat,growthgap,job_change,negcount1day,poscount1day,sentcount1day,econcount1day,job_change1day,growthgap1day,change1day,negcount2day,poscount2day,sentcount2day,econcount2day,job_change2day,growthgap2day,change2day,negcount3day,poscount3day,sentcount3day,econcount3day,job_change3day,growthgap3day,change3day,negcount4day,poscount4day,sentcount4day,econcount4day,job_change4day,growthgap4day,change4day,negcount5day,poscount5day,sentcount5day,econcount5day,job_change5day,growthgap5day,change5day,negcount6day,poscount6day,sentcount6day,econcount6day,job_change6day,growthgap6day,change6day,negcount7day,poscount7day,sentcount7day,econcount7day,job_change7day,growthgap7day,change7day,negcount8day,poscount8day,sentcount8day,econcount8day,job_change8day,growthgap8day,change8day,negcount9day,poscount9day,sentcount9day,econcount9day,job_change9day,growthgap9day,change9day,negcount10day,poscount10day,sentcount10day,econcount10day,job_change10day,growthgap10day,change10day,negcount11day,poscount11day,sentcount11day,econcount11day,job_change11day,growthgap11day,change11day,negcount12day,poscount12day,sentcount12day,econcount12day,job_change12day,growthgap12day,change12day,negcount13day,poscount13day,sentcount13day,econcount13day,job_change13day,growthgap13day,change13day,negcount14day,poscount14day,sentcount14day,job_change14day,growthgap14day,econcount14day,change14day,negcount15day,poscount15day,sentcount15day,econcount15day,job_change15day,growthgap15day,change15day
2016-02-26,-0.0006675567423230324,2016-02-26,20,15,-5,3,0,0,0,1,-0.4,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-26,-0.0020045319853581123,2016-05-26,59,61,2,20,0,0,1,0,1.8,197.0,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-21,-0.002062032820689018,2016-06-21,15,5,-10,8,0,0,1,0,1.5,41.0,59.0,61.0,2.0,20.0,197.0,1.8,-0.0020045319853581123,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-28,0.004960317460317563,2016-06-28,67,72,5,40,1,1,0,0,1.2,41.0,15.0,5.0,-10.0,8.0,41.0,1.5,-0.002062032820689018,59.0,61.0,2.0,20.0,197.0,1.8,-0.0020045319853581123,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-29,-0.01214216789964623,2016-09-29,57,51,-6,4,0,0,1,0,-0.1,143.0,67.0,72.0,5.0,40.0,41.0,1.2,0.004960317460317563,15.0,5.0,-10.0,8.0,41.0,1.5,-0.002062032820689018,59.0,61.0,2.0,20.0,197.0,1.8,-0.0020045319853581123,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24,0.0016492125010307813,2016-10-24,8,2,-6,4,1,0,0,1,-0.1,289.0,57.0,51.0,-6.0,4.0,143.0,-0.1,-0.01214216789964623,67.0,72.0,5.0,40.0,41.0,1.2,0.004960317460317563,15.0,5.0,-10.0,8.0,41.0,1.5,-0.002062032820689018,59.0,61.0,2.0,20.0,197.0,1.8,-0.0020045319853581123,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-18,0.0031147914609131397,2016-11-18,33,36,3,20,1,1,0,0,-0.7,118.0,8.0,2.0,-6.0,4.0,289.0,-0.1,0.0016492125010307813,57.0,51.0,-6.0,4.0,143.0,-0.1,-0.01214216789964623,67.0,72.0,5.0,40.0,41.0,1.2,0.004960317460317563,15.0,5.0,-10.0,8.0,41.0,1.5,-0.002062032820689018,59.0,61.0,2.0,20.0,197.0,1.8,-0.0020045319853581123,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-29,-0.000894654439722691,2016-11-29,49,47,-2,23,0,0,0,1,-1.0,118.0,33.0,36.0,3.0,20.0,118.0,-0.7,0.0031147914609131397,8.0,2.0,-6.0,4.0,289.0,-0.1,0.0016492125010307813,57.0,51.0,-6.0,4.0,143.0,-0.1,-0.01214216789964623,67.0,72.0,5.0,40.0,41.0,1.2,0.004960317460317563,15.0,5.0,-10.0,8.0,41.0,1.5,-0.002062032820689018,59.0,61.0,2.0,20.0,197.0,1.8,-0.0020045319853581123,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,-0.00949484459609822,2016-11-30,15,23,8,4,0,0,1,0,-1.0,118.0,49.0,47.0,-2.0,23.0,118.0,-1.0,-0.000894654439722691,33.0,36.0,3.0,20.0,118.0,-0.7,0.0031147914609131397,8.0,2.0,-6.0,4.0,289.0,-0.1,0.0016492125010307813,57.0,51.0,-6.0,4.0,143.0,-0.1,-0.01214216789964623,67.0,72.0,5.0,40.0,41.0,1.2,0.004960317460317563,15.0,5.0,-10.0,8.0,41.0,1.5,-0.002062032820689018,59.0,61.0,2.0,20.0,197.0,1.8,-0.0020045319853581123,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,-0.001980198019801988,2017-02-22,12,13,1,3,0,0,0,1,0.6,197.0,15.0,23.0,8.0,4.0,118.0,-1.0,-0.00949484459609822,49.0,47.0,-2.0,23.0,118.0,-1.0,-0.000894654439722691,33.0,36.0,3.0,20.0,118.0,-0.7,0.0031147914609131397,8.0,2.0,-6.0,4.0,289.0,-0.1,0.0016492125010307813,57.0,51.0,-6.0,4.0,143.0,-0.1,-0.01214216789964623,67.0,72.0,5.0,40.0,41.0,1.2,0.004960317460317563,15.0,5.0,-10.0,8.0,41.0,1.5,-0.002062032820689018,59.0,61.0,2.0,20.0,197.0,1.8,-0.0020045319853581123,20.0,15.0,-5.0,3.0,108.0,-0.4,-0.0006675567423230324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
