Date,Pos_Count
2016-12-28,15
2016-12-29,21
2016-12-30,25
2016-12-31,21
2017-01-01,8
2017-01-02,19
2017-01-03,12
2017-01-04,35
2017-01-05,31
2017-01-06,102
2017-01-07,20
2017-01-08,41
2017-01-09,120
2017-01-10,50
2017-01-11,93
2017-01-12,76
2017-01-13,124
2017-01-14,7
2017-01-15,12
2017-01-16,40
2017-01-17,90
2017-01-18,54
2017-01-19,126
2017-01-20,21
2017-01-21,22
2017-01-22,26
2017-01-23,34
2017-01-24,31
2017-01-25,65
2017-01-26,71
2017-01-27,250
2017-01-28,10
2017-01-29,40
2017-01-30,51
2017-01-31,78
2017-02-01,55
2017-02-02,59
2017-02-03,49
2017-02-04,75
2017-02-05,29
2017-02-06,41
2017-02-07,104
2017-02-08,151
2017-02-09,62
2017-02-10,78
2017-02-11,57
2017-02-12,35
2017-02-13,87
2017-02-14,54
2017-02-15,74
2017-02-16,66
2017-02-17,65
2017-02-18,127
2017-02-19,39
2017-02-20,22
2017-02-21,136
2017-02-22,77
2017-02-23,112
2017-02-24,92
2017-02-25,17
2017-02-26,24
2017-02-27,64
2017-02-28,81
2017-03-01,95
2017-03-02,130
2017-03-03,117
2017-03-04,9
2017-03-05,27
2017-03-06,29
2017-03-07,127
2017-03-08,61
2017-03-09,65
2017-03-10,71
2017-03-11,49
2017-03-12,24
2017-03-13,93
2017-03-14,54
2017-03-15,146
2017-03-16,115
2017-03-17,61
2017-03-18,36
2017-03-19,4
2017-03-20,87
2017-03-21,130
2017-03-22,40
2017-03-23,35
2017-03-24,46
2017-03-25,51
2017-03-26,16
2017-03-27,30
2017-03-28,152
2017-03-29,60
2017-03-30,68
2017-03-31,47
2017-04-01,13
2017-04-02,42
2017-04-03,38
2017-04-04,60
2017-04-05,99
2017-04-06,92
2017-04-07,57
2017-04-08,49
2017-04-09,32
2017-04-10,31
2017-04-11,46
2017-04-12,121
2017-04-13,18
2017-04-14,27
2017-04-15,23
2017-04-16,14
2017-04-17,30
2017-04-18,34
2017-04-19,49
2017-04-20,42
2017-04-21,23
2017-04-22,11
2017-04-23,24
2017-04-24,43
2017-04-25,56
2017-04-26,53
2017-04-27,50
2017-04-28,27
2017-04-29,4
2017-04-30,21
2017-05-01,40
2017-05-02,38
2017-05-03,116
2017-05-04,53
2017-05-05,32
2017-05-06,26
2017-05-07,33
2017-05-08,80
2017-05-09,90
2017-05-10,99
2017-05-11,67
2017-05-12,58
2017-05-13,5
2017-05-14,10
2017-05-15,42
2017-05-16,79
2017-05-17,60
2017-05-18,67
2017-05-19,101
2017-05-20,9
2017-05-21,14
2017-05-22,41
2017-05-23,49
2017-05-24,34
2017-05-25,77
2017-05-26,25
2017-05-27,12
2017-05-28,6
2017-05-29,13
2017-05-30,8
2017-05-31,38
2017-06-01,56
2017-06-02,29
2017-06-03,23
2017-06-04,2
2017-06-05,50
2017-06-06,86
2017-06-07,42
2017-06-08,46
2017-06-09,83
2017-06-10,26
2017-06-11,5
2017-06-12,63
2017-06-13,41
2017-06-14,23
2017-06-15,52
2017-06-16,51
2017-06-17,21
2017-06-18,20
2017-06-19,26
2017-06-20,56
2017-06-21,57
2017-06-22,84
2017-06-23,53
2017-06-24,78
2017-06-25,41
2017-06-26,84
2017-06-27,51
2017-06-28,46
2017-06-29,48
2017-06-30,54
2017-07-01,23
2017-07-02,26
2017-07-03,16
2017-07-04,10
2017-07-05,35
2017-07-06,13
2017-07-07,32
2017-07-08,17
2017-07-09,17
2017-07-10,46
2017-07-11,33
2017-07-12,42
2017-07-13,101
2017-07-14,90
2017-07-15,25
2017-07-16,13
2017-07-17,34
2017-07-18,49
