date,change,Date,Neg_Count,Pos_Count,Sent_Count,Count,pos_neg,pos,neg,flat,growthgap,job_change,negcount1day,poscount1day,sentcount1day,econcount1day,job_change1day,growthgap1day,change1day,negcount2day,poscount2day,sentcount2day,econcount2day,job_change2day,growthgap2day,change2day,negcount3day,poscount3day,sentcount3day,econcount3day,job_change3day,growthgap3day,change3day,negcount4day,poscount4day,sentcount4day,econcount4day,job_change4day,growthgap4day,change4day,negcount5day,poscount5day,sentcount5day,econcount5day,job_change5day,growthgap5day,change5day,negcount6day,poscount6day,sentcount6day,econcount6day,job_change6day,growthgap6day,change6day,negcount7day,poscount7day,sentcount7day,econcount7day,job_change7day,growthgap7day,change7day,negcount8day,poscount8day,sentcount8day,econcount8day,job_change8day,growthgap8day,change8day,negcount9day,poscount9day,sentcount9day,econcount9day,job_change9day,growthgap9day,change9day,negcount10day,poscount10day,sentcount10day,econcount10day,job_change10day,growthgap10day,change10day,negcount11day,poscount11day,sentcount11day,econcount11day,job_change11day,growthgap11day,change11day,negcount12day,poscount12day,sentcount12day,econcount12day,job_change12day,growthgap12day,change12day,negcount13day,poscount13day,sentcount13day,econcount13day,job_change13day,growthgap13day,change13day,negcount14day,poscount14day,sentcount14day,job_change14day,growthgap14day,econcount14day,change14day,negcount15day,poscount15day,sentcount15day,econcount15day,job_change15day,growthgap15day,change15day
2018-06-20,-0.0010858942339014538,2018-06-20,28,32,4,13,0,0,0,1,1.6,270.0,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381,31.0,22.0,-9.0,5.0,42.0,-1.4,-7.85360873321693e-05,14.0,18.0,4.0,12.0,190.0,-1.4,0.004417448923246843,58.0,39.0,-19.0,6.0,141.0,0.9,-0.00553970813179534,26.0,33.0,7.0,2.0,141.0,1.1,-0.0025010250102501584,65.0,41.0,-24.0,10.0,141.0,1.1,0.0009056852332139428,17.0,18.0,1.0,11.0,220.0,1.1,0.005744513782700396,29.0,29.0,0.0,4.0,139.0,0.4,0.00508221225710014,12.0,20.0,8.0,183.0,0.6,0.008788099627041551,0.008788099627041551,35.0,48.0,13.0,7.0,197.0,0.6,0.0010496704034933034
2018-08-24,0.0037355118000279054,2018-08-24,63,43,-20,30,1,1,0,0,-1.4,149.0,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381,31.0,22.0,-9.0,5.0,42.0,-1.4,-7.85360873321693e-05,14.0,18.0,4.0,12.0,190.0,-1.4,0.004417448923246843,58.0,39.0,-19.0,6.0,141.0,0.9,-0.00553970813179534,26.0,33.0,7.0,2.0,141.0,1.1,-0.0025010250102501584,65.0,41.0,-24.0,10.0,141.0,1.1,0.0009056852332139428,17.0,18.0,1.0,11.0,220.0,1.1,0.005744513782700396,29.0,29.0,0.0,139.0,0.4,0.00508221225710014,0.00508221225710014,12.0,20.0,8.0,2.0,183.0,0.6,0.008788099627041551
2018-10-02,0.0,2018-10-02,68,31,-37,39,0,0,0,1,-1.4,229.0,63.0,43.0,-20.0,30.0,149.0,-1.4,0.0037355118000279054,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381,31.0,22.0,-9.0,5.0,42.0,-1.4,-7.85360873321693e-05,14.0,18.0,4.0,12.0,190.0,-1.4,0.004417448923246843,58.0,39.0,-19.0,6.0,141.0,0.9,-0.00553970813179534,26.0,33.0,7.0,2.0,141.0,1.1,-0.0025010250102501584,65.0,41.0,-24.0,10.0,141.0,1.1,0.0009056852332139428,17.0,18.0,1.0,220.0,1.1,0.005744513782700396,0.005744513782700396,29.0,29.0,0.0,4.0,139.0,0.4,0.00508221225710014
2018-11-28,0.018471810089020626,2018-11-28,67,55,-12,10,1,1,0,0,-1.4,212.0,68.0,31.0,-37.0,39.0,229.0,-1.4,0.0,63.0,43.0,-20.0,30.0,149.0,-1.4,0.0037355118000279054,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381,31.0,22.0,-9.0,5.0,42.0,-1.4,-7.85360873321693e-05,14.0,18.0,4.0,12.0,190.0,-1.4,0.004417448923246843,58.0,39.0,-19.0,6.0,141.0,0.9,-0.00553970813179534,26.0,33.0,7.0,2.0,141.0,1.1,-0.0025010250102501584,65.0,41.0,-24.0,141.0,1.1,0.0009056852332139428,0.0009056852332139428,17.0,18.0,1.0,11.0,220.0,1.1,0.005744513782700396
2018-12-06,0.014741275571600324,2018-12-06,10,25,15,3,1,1,0,0,-1.4,212.0,67.0,55.0,-12.0,10.0,212.0,-1.4,0.018471810089020626,68.0,31.0,-37.0,39.0,229.0,-1.4,0.0,63.0,43.0,-20.0,30.0,149.0,-1.4,0.0037355118000279054,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381,31.0,22.0,-9.0,5.0,42.0,-1.4,-7.85360873321693e-05,14.0,18.0,4.0,12.0,190.0,-1.4,0.004417448923246843,58.0,39.0,-19.0,6.0,141.0,0.9,-0.00553970813179534,26.0,33.0,7.0,141.0,1.1,-0.0025010250102501584,-0.0025010250102501584,65.0,41.0,-24.0,10.0,141.0,1.1,0.0009056852332139428
2019-02-06,-0.0001832911763628116,2019-02-06,4,31,27,1,0,0,0,1,-1.3,237.0,10.0,25.0,15.0,3.0,212.0,-1.4,0.014741275571600324,67.0,55.0,-12.0,10.0,212.0,-1.4,0.018471810089020626,68.0,31.0,-37.0,39.0,229.0,-1.4,0.0,63.0,43.0,-20.0,30.0,149.0,-1.4,0.0037355118000279054,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381,31.0,22.0,-9.0,5.0,42.0,-1.4,-7.85360873321693e-05,14.0,18.0,4.0,12.0,190.0,-1.4,0.004417448923246843,58.0,39.0,-19.0,141.0,0.9,-0.00553970813179534,-0.00553970813179534,26.0,33.0,7.0,2.0,141.0,1.1,-0.0025010250102501584
2019-02-12,0.006166948094853559,2019-02-12,10,19,9,2,1,1,0,0,-1.3,237.0,4.0,31.0,27.0,1.0,237.0,-1.3,-0.0001832911763628116,10.0,25.0,15.0,3.0,212.0,-1.4,0.014741275571600324,67.0,55.0,-12.0,10.0,212.0,-1.4,0.018471810089020626,68.0,31.0,-37.0,39.0,229.0,-1.4,0.0,63.0,43.0,-20.0,30.0,149.0,-1.4,0.0037355118000279054,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381,31.0,22.0,-9.0,5.0,42.0,-1.4,-7.85360873321693e-05,14.0,18.0,4.0,190.0,-1.4,0.004417448923246843,0.004417448923246843,58.0,39.0,-19.0,6.0,141.0,0.9,-0.00553970813179534
2019-02-28,-0.0010037281330655748,2019-02-28,25,42,17,4,0,0,0,1,-1.3,237.0,10.0,19.0,9.0,2.0,237.0,-1.3,0.006166948094853559,4.0,31.0,27.0,1.0,237.0,-1.3,-0.0001832911763628116,10.0,25.0,15.0,3.0,212.0,-1.4,0.014741275571600324,67.0,55.0,-12.0,10.0,212.0,-1.4,0.018471810089020626,68.0,31.0,-37.0,39.0,229.0,-1.4,0.0,63.0,43.0,-20.0,30.0,149.0,-1.4,0.0037355118000279054,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381,31.0,22.0,-9.0,42.0,-1.4,-7.85360873321693e-05,-7.85360873321693e-05,14.0,18.0,4.0,12.0,190.0,-1.4,0.004417448923246843
2019-03-08,0.005568989521506492,2019-03-08,24,51,27,8,1,1,0,0,-1.3,-50.0,25.0,42.0,17.0,4.0,237.0,-1.3,-0.0010037281330655748,10.0,19.0,9.0,2.0,237.0,-1.3,0.006166948094853559,4.0,31.0,27.0,1.0,237.0,-1.3,-0.0001832911763628116,10.0,25.0,15.0,3.0,212.0,-1.4,0.014741275571600324,67.0,55.0,-12.0,10.0,212.0,-1.4,0.018471810089020626,68.0,31.0,-37.0,39.0,229.0,-1.4,0.0,63.0,43.0,-20.0,30.0,149.0,-1.4,0.0037355118000279054,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,7.0,42.0,-0.1,0.0006992735324966006,22.0,47.0,25.0,42.0,-1.4,-0.0007033997655334381,-0.0007033997655334381,31.0,22.0,-9.0,5.0,42.0,-1.4,-7.85360873321693e-05
2019-05-09,0.005013497878904767,2019-05-09,13,28,15,1,1,1,0,0,-0.3,219.0,24.0,51.0,27.0,8.0,-50.0,-1.3,0.005568989521506492,25.0,42.0,17.0,4.0,237.0,-1.3,-0.0010037281330655748,10.0,19.0,9.0,2.0,237.0,-1.3,0.006166948094853559,4.0,31.0,27.0,1.0,237.0,-1.3,-0.0001832911763628116,10.0,25.0,15.0,3.0,212.0,-1.4,0.014741275571600324,67.0,55.0,-12.0,10.0,212.0,-1.4,0.018471810089020626,68.0,31.0,-37.0,39.0,229.0,-1.4,0.0,63.0,43.0,-20.0,30.0,149.0,-1.4,0.0037355118000279054,28.0,32.0,4.0,13.0,270.0,1.6,-0.0010858942339014538,36.0,56.0,20.0,4.0,153.0,1.5,0.0,6.0,7.0,1.0,1.0,153.0,1.5,0.0015759849906191966,39.0,51.0,12.0,30.0,195.0,1.0,-0.014046010173866785,9.0,26.0,17.0,3.0,81.0,1.3,0.00769026783346582,29.0,37.0,8.0,42.0,-0.1,0.0006992735324966006,0.0006992735324966006,22.0,47.0,25.0,2.0,42.0,-1.4,-0.0007033997655334381
