day,favorites
2016-12-22,385
2016-12-23,411
2016-12-24,98
2016-12-25,1022
2016-12-26,343
2016-12-27,181
2016-12-28,730
2016-12-29,1063
2016-12-30,477
2016-12-31,596
2017-01-01,159
2017-01-02,271
2017-01-03,345
2017-01-04,1465
2017-01-05,1268
2017-01-06,720
2017-01-07,482
2017-01-08,878
2017-01-09,551
2017-01-10,696
2017-01-11,3245
2017-01-12,2252
2017-01-13,671
2017-01-14,307
2017-01-15,1645
2017-01-16,1671
2017-01-17,1018
2017-01-18,430
2017-01-19,1976
2017-01-20,459
2017-01-21,207
2017-01-22,230
2017-01-23,796
2017-01-24,406
2017-01-25,1669
2017-01-26,13436
2017-01-27,11001
2017-01-28,38796
2017-01-29,434
2017-01-30,1350
2017-01-31,43414
2017-02-01,3016
2017-02-02,989
2017-02-03,1664
2017-02-04,426
2017-02-05,510
2017-02-06,1747
2017-02-07,3696
2017-02-08,1403
2017-02-09,885
2017-02-10,1272
2017-02-11,148
2017-02-12,224
2017-02-13,768
2017-02-14,675
2017-02-15,2361
2017-02-16,902
2017-02-17,990
2017-02-18,1150
2017-02-19,229
2017-02-20,1424
2017-02-21,5923
2017-02-22,1096
2017-02-23,1376
2017-02-24,1029
2017-02-25,387
2017-02-26,297
2017-02-27,2049
2017-02-28,2852
2017-03-01,1474
2017-03-02,1638
2017-03-03,1746
2017-03-04,666
2017-03-05,294
2017-03-06,746
2017-03-07,1092
2017-03-08,905
2017-03-09,708
2017-03-10,814
2017-03-11,965
2017-03-12,536
2017-03-13,1054
2017-03-14,1746
2017-03-15,1354
2017-03-16,678
2017-03-17,597
2017-03-18,181
2017-03-19,184
2017-03-20,702
2017-03-21,849
2017-03-22,1121
2017-03-23,1849
2017-03-24,568
2017-03-25,308
2017-03-26,849
2017-03-27,1067
2017-03-28,1311
2017-03-29,1550
2017-03-30,1383
2017-03-31,1629
2017-04-01,1072
2017-04-02,424
2017-04-03,750
2017-04-04,1898
2017-04-05,1588
2017-04-06,837
2017-04-07,1101
2017-04-08,882
2017-04-09,240
2017-04-10,517
2017-04-11,3570
2017-04-12,1125
2017-04-13,873
2017-04-14,934
2017-04-15,77
2017-04-16,780
2017-04-17,696
2017-04-18,1398
2017-04-19,917
2017-04-20,2228
2017-04-21,518
2017-04-22,361
2017-04-23,273
2017-04-24,569
2017-04-25,610
2017-04-26,533
2017-04-27,1145
2017-04-28,650
2017-04-29,130
2017-04-30,268
2017-05-01,1052
2017-05-02,2458
2017-05-03,589
2017-05-04,2375
2017-05-05,955
2017-05-06,262
2017-05-07,424
2017-05-08,398
2017-05-09,1067
2017-05-10,1876
2017-05-11,399
2017-05-12,564
2017-05-13,45
2017-05-14,231
2017-05-15,734
2017-05-16,1041
2017-05-17,1488
2017-05-18,680
2017-05-19,1596
2017-05-20,278
2017-05-21,292
2017-05-22,653
2017-05-23,726
2017-05-24,972
2017-05-25,1283
2017-05-26,578
2017-05-27,104
2017-05-28,154
2017-05-29,454
2017-05-30,1263
2017-05-31,1679
2017-06-01,617
2017-06-02,603
2017-06-03,95
2017-06-04,180
2017-06-05,826
2017-06-06,827
2017-06-07,553
2017-06-08,941
2017-06-09,2122
2017-06-10,331
2017-06-11,318
2017-06-12,595
2017-06-13,2718
2017-06-14,1043
2017-06-15,1287
2017-06-16,14026
2017-06-17,574
2017-06-18,391
2017-06-19,793
2017-06-20,3345
2017-06-21,1201
2017-06-22,1024
2017-06-23,988
2017-06-24,1700
2017-06-25,361
2017-06-26,874
2017-06-27,1230
2017-06-28,1792
2017-06-29,3413
2017-06-30,1716
2017-07-01,349
2017-07-02,336
2017-07-03,1089
2017-07-04,178
2017-07-05,750
2017-07-06,1318
2017-07-07,750
2017-07-08,189
2017-07-09,304
2017-07-10,669
2017-07-11,576
2017-07-12,1066
2017-07-13,2233
2017-07-14,737
2017-07-15,734
2017-07-16,373
2017-07-17,543
2017-07-18,2081
2017-07-19,663
2017-07-20,1045
2017-07-21,584
2017-07-22,164
2017-07-23,247
2017-07-24,1044
2017-07-25,1914
2017-07-26,1173
2017-07-27,2158
2017-07-28,2745
2017-07-29,134
2017-07-30,519
2017-07-31,895
2017-08-01,949
2017-08-02,2059
2017-08-03,1699
2017-08-04,1046
2017-08-05,283
2017-08-06,387
2017-08-07,519
2017-08-08,1072
2017-08-09,739
2017-08-10,2200
2017-08-11,1026
2017-08-12,395
2017-08-13,1338
2017-08-14,1147
2017-08-15,936
2017-08-16,796
2017-08-17,4360
2017-08-18,546
2017-08-19,120
2017-08-20,272
2017-08-21,592
2017-08-22,1559
2017-08-23,641
2017-08-24,708
2017-08-25,539
2017-08-26,272
2017-08-27,200
2017-08-28,643
2017-08-29,737
2017-08-30,572
2017-08-31,465
2017-09-01,761
2017-09-02,321
2017-09-03,920
2017-09-04,861
2017-09-05,3767
2017-09-06,524
2017-09-07,975
2017-09-08,725
2017-09-09,479
2017-09-10,541
2017-09-11,1016
2017-09-12,725
2017-09-13,702
2017-09-14,881
2017-09-15,2122
2017-09-16,672
2017-09-17,492
2017-09-18,1001
2017-09-19,1260
2017-09-20,1162
2017-09-21,884
2017-09-22,607
2017-09-23,577
2017-09-24,473
2017-09-25,787
2017-09-26,1529
2017-09-27,1186
2017-09-28,2761
2017-09-29,774
2017-09-30,190
2017-10-01,363
2017-10-02,1261
2017-10-03,4502
2017-10-04,834
2017-10-05,924
2017-10-06,868
