date,Sent_Count,favorites
2019-11-26,-1,687302
2019-12-02,11,1743763
2019-12-05,9,1068669
2019-12-06,-3,1180678
2019-12-10,21,1122395
2019-12-11,-16,760424
2019-12-12,-13,1168520
2019-12-16,-2,922998
2019-12-17,12,1050193
2019-12-18,-17,1844648
2019-12-23,-11,541153
2019-12-26,-8,1177514
2019-12-27,7,968491
2019-12-31,3,2049397
2020-01-02,-1,678692
2020-01-10,1,1130827
2020-01-13,-2,1376843
2020-01-15,7,879021
2020-01-16,6,1156311
2020-01-17,1,1743817
2020-01-22,-16,1169836
2020-01-23,-11,1727546
2020-01-28,-5,1240445
2020-01-29,-1,1893224
2020-02-11,-9,1108653
2020-02-13,2,885803
2020-02-18,-17,1610695
2020-02-21,-3,876680
2020-02-25,-6,677317
2020-02-28,-4,1472639
2020-03-02,2,1459062
2020-03-04,6,2250760
2020-03-09,-5,1653079
2020-03-10,10,1153741
2020-03-12,-2,805272
2020-03-13,3,1869644
2020-03-18,-4,2319454
2020-03-24,5,2092812
2020-03-25,5,1828109
2020-03-27,8,1632975
2020-04-02,2,787430
2020-04-14,5,1434409
2020-04-15,0,572916
2020-04-22,0,1457101
2020-04-27,-9,1517091
2020-04-28,1,941176
2020-04-30,-6,1949980
2020-05-05,4,1641920
2020-05-13,-2,1419634
2020-05-19,0,854817
2020-05-21,6,1410947
2020-05-28,-13,2511463
2020-06-01,3,2118172
2020-06-04,-3,5207368
2020-06-09,4,2425112
2020-06-10,4,1799274
2020-06-11,9,2740013
2020-06-23,3,1870480
2020-07-01,-8,2032008
2020-07-02,-6,1427520
2020-07-06,-5,2930974
2020-07-08,0,1134081
2020-07-23,-14,1056041
2020-07-28,0,711215
2020-07-31,6,1154824
2020-08-03,2,1604674
2020-08-06,-6,1296961
2020-08-14,-7,2310172
2020-08-18,-15,1982850
2020-09-08,-28,3401750
2020-09-09,-7,2083434
2020-09-10,-9,2302344
2020-09-11,3,1908895
2020-09-15,6,1806014
2020-09-18,13,2712291
2020-09-24,3,2042075
2020-09-25,-13,1451823
2020-09-28,-4,1340349
2020-09-29,2,1532338
2020-10-06,7,3201250
2020-10-13,0,3187812
2020-10-16,9,2093878
2020-10-19,11,2462076
2020-10-29,-1,2860149
2020-10-30,4,5170223
2020-11-02,-10,5944443
2020-11-03,2,5747559
2020-11-12,1,4064891
2020-12-08,-10,3040254
2020-12-11,3,4584694
2020-12-29,2,2090233
