date,Neg_Count,Pos_Count,favorites,Count,negcount1day,poscount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day
2016-01-26,72,72,500,11,15.0,26.0,563.0,4.0,273.0,-0.5,-0.012005054759898912
2016-01-27,36,42,337,8,72.0,72.0,500.0,11.0,273.0,-0.5,0.009446980150727105
2016-01-28,33,42,608,3,36.0,42.0,337.0,8.0,273.0,-0.5,-0.0076484861272287
2016-01-29,33,30,157,3,33.0,42.0,608.0,3.0,273.0,-0.5,-0.004474626237102518
2016-02-01,24,23,276,6,33.0,30.0,157.0,3.0,273.0,-0.1,0.019471634564782597
2016-02-02,26,33,264,5,24.0,23.0,276.0,6.0,273.0,-0.1,0.005817275229834335
2016-02-03,32,46,433,4,26.0,33.0,264.0,5.0,273.0,-0.1,-0.009376953531985891
2016-02-04,19,25,177,4,32.0,46.0,433.0,4.0,273.0,-0.1,-0.000574682618462908
2016-02-05,39,47,501,3,19.0,25.0,177.0,4.0,273.0,-0.1,0.004666771537937111
2016-02-08,40,36,502,7,39.0,47.0,501.0,3.0,108.0,-0.1,-0.01591706372061375
2016-02-09,49,52,757,9,40.0,36.0,502.0,7.0,108.0,-0.1,-0.001884050169564637
2016-02-10,35,47,352,8,49.0,52.0,757.0,9.0,108.0,-0.1,0.011289267015706768
2016-02-11,61,57,259,10,35.0,47.0,352.0,8.0,108.0,-0.1,-0.006115551740786366
2016-02-12,42,58,381,6,61.0,57.0,259.0,10.0,108.0,-0.1,0.0028518152901174194
2016-02-16,54,48,687,3,42.0,58.0,381.0,6.0,108.0,-0.1,0.009028979238754255
2016-02-17,26,37,356,4,54.0,48.0,687.0,3.0,108.0,-0.1,0.005350426444879965
2016-02-18,42,53,313,6,26.0,37.0,356.0,4.0,108.0,-0.1,0.008997698263234979
2016-02-19,35,59,509,3,42.0,53.0,313.0,6.0,108.0,-0.1,-0.005745341614906756
2016-02-22,28,32,198,8,35.0,59.0,509.0,3.0,108.0,-0.1,0.0043416854108908965
2016-02-23,11,13,138,4,28.0,32.0,198.0,8.0,108.0,-0.1,0.0046938670242946115
2016-02-24,20,35,637,5,11.0,13.0,138.0,4.0,108.0,-0.1,-0.008659793814433025
2016-02-25,48,65,308,9,20.0,35.0,637.0,5.0,108.0,-0.1,0.01348161359702037
2016-02-26,27,31,536,8,48.0,65.0,308.0,9.0,108.0,-0.1,0.009342899912249021
2016-02-29,29,32,181,4,27.0,31.0,536.0,8.0,108.0,-0.4,-0.007529124484916262
2016-03-01,24,40,336,6,29.0,32.0,181.0,4.0,108.0,-0.4,-0.007944236584490857
2016-03-02,34,62,755,4,24.0,40.0,336.0,6.0,108.0,-0.4,0.015896620686118777
2016-03-03,89,83,451,13,34.0,62.0,755.0,4.0,108.0,-0.4,0.006372003641144893
2016-03-04,70,68,511,7,89.0,83.0,451.0,13.0,108.0,-0.4,0.0049801297852005095
2016-03-07,48,49,380,8,70.0,68.0,511.0,7.0,212.0,-0.4,0.002099895005249817
2016-03-08,33,30,250,4,48.0,49.0,380.0,8.0,212.0,-0.4,0.0062706932878499036
2016-03-09,46,52,589,6,33.0,30.0,250.0,4.0,212.0,-0.4,-0.004615693357415149
2016-03-10,16,23,289,3,46.0,52.0,589.0,6.0,212.0,-0.4,0.00010032102728722816
2016-03-11,15,23,218,1,16.0,23.0,289.0,3.0,212.0,-0.4,-0.002100420084016883
2016-03-14,31,27,444,7,15.0,23.0,218.0,1.0,212.0,-0.4,0.0074530458113882545
2016-03-15,34,49,355,7,31.0,27.0,444.0,7.0,212.0,-0.4,0.0016818361693708122
2016-03-16,42,34,571,5,34.0,49.0,355.0,7.0,212.0,-0.4,0.004022646007151241
2016-03-17,55,77,1058,10,42.0,34.0,571.0,5.0,212.0,-0.4,0.008630952380952427
2016-03-18,54,54,387,8,55.0,77.0,1058.0,10.0,212.0,-0.4,0.0068392048809288826
2016-03-21,30,45,242,5,54.0,54.0,387.0,8.0,212.0,-0.4,0.0010285546358427189
2016-03-22,57,77,498,9,30.0,45.0,242.0,5.0,212.0,-0.4,0.002940167589552577
2016-03-23,58,70,947,6,57.0,77.0,498.0,9.0,212.0,-0.4,0.003926187671770767
2016-03-24,70,50,474,6,58.0,70.0,947.0,6.0,212.0,-0.4,-0.004409387095193795
2016-03-28,41,63,701,9,70.0,50.0,474.0,6.0,212.0,-0.8,0.005544554455445567
2016-03-29,42,97,655,8,41.0,63.0,701.0,9.0,212.0,-0.8,-0.0018171995481558105
2016-03-30,69,64,534,12,42.0,97.0,655.0,8.0,212.0,-0.8,0.01163937660288032
2016-03-31,80,72,618,13,69.0,64.0,534.0,12.0,212.0,-0.8,-0.0013572467280659286
2016-04-01,62,115,697,20,80.0,72.0,618.0,13.0,212.0,-0.8,-0.0018940313729298548
2016-04-04,41,64,728,8,62.0,115.0,697.0,20.0,237.0,-0.8,0.012576461952532387
2016-04-05,58,84,526,7,41.0,64.0,728.0,8.0,237.0,-0.8,-0.0028042353623749573
2016-04-06,46,67,505,5,58.0,84.0,526.0,7.0,237.0,-0.8,-0.0023452386768944627
2016-04-07,37,56,662,8,46.0,67.0,505.0,5.0,237.0,-0.8,0.010921200842352659
2016-04-08,38,57,629,4,37.0,56.0,662.0,8.0,237.0,-0.8,-0.005800916447304271
2016-04-11,97,116,453,21,38.0,57.0,629.0,4.0,237.0,-0.8,-0.00409077627349763
2016-04-12,69,108,860,8,97.0,116.0,453.0,21.0,237.0,-0.8,-0.005992691839220413
2016-04-13,68,83,834,14,69.0,108.0,860.0,8.0,237.0,-0.8,0.008324356086573248
2016-04-14,43,51,440,7,68.0,83.0,834.0,14.0,237.0,-0.8,0.004830917874396135
2016-04-15,50,49,433,4,43.0,51.0,440.0,7.0,237.0,-0.8,-0.00028836449271880753
2016-04-18,59,90,657,10,50.0,49.0,433.0,4.0,237.0,-0.8,-0.001105716071342675
2016-04-19,102,80,593,8,59.0,90.0,657.0,10.0,237.0,-0.8,0.007026662816440504
2016-04-20,83,90,521,9,102.0,80.0,593.0,8.0,237.0,-0.8,0.0007628492419185497
2016-04-21,69,73,574,9,83.0,90.0,521.0,9.0,237.0,-0.8,0.000714455822814983
2016-04-22,43,54,549,5,69.0,73.0,574.0,9.0,237.0,-0.8,-0.005473063011612439
2016-04-25,45,53,637,6,43.0,54.0,549.0,5.0,237.0,-0.8,0.0020139055382401697
2016-04-26,56,83,1063,7,45.0,53.0,637.0,6.0,237.0,-0.8,0.0016805915682321267
2016-04-27,37,52,487,6,56.0,83.0,1063.0,7.0,237.0,-0.8,-0.0005740528128588048
2016-04-28,38,43,1031,11,37.0,52.0,487.0,6.0,237.0,-0.8,0.0042212308725475866
2016-04-29,58,62,566,10,38.0,43.0,1031.0,11.0,237.0,1.8,-0.004845054207042211
2016-05-02,23,43,825,4,58.0,62.0,566.0,10.0,237.0,1.8,-0.001886609907120677
2016-05-03,58,77,891,7,23.0,43.0,825.0,4.0,237.0,1.8,0.005074424898511557
2016-05-04,17,43,473,4,58.0,77.0,891.0,7.0,237.0,1.8,-0.0017431725740849006
2016-05-05,47,79,472,11,17.0,43.0,473.0,4.0,237.0,1.8,9.75657349138095e-05
2016-05-06,49,65,772,6,47.0,79.0,472.0,11.0,237.0,1.8,-0.002870208211714358
2016-05-09,17,36,449,3,49.0,65.0,772.0,6.0,197.0,1.8,0.008134862295403295
2016-05-10,34,57,406,5,17.0,36.0,449.0,3.0,197.0,1.8,0.001556647370725267
2016-05-11,40,68,436,6,34.0,57.0,406.0,5.0,197.0,1.8,0.008368808049535555
2016-05-12,40,50,1007,12,40.0,68.0,436.0,6.0,197.0,1.8,-0.006781780578134754
2016-05-13,57,75,446,7,40.0,50.0,1007.0,12.0,197.0,1.8,-0.0035216363548651155
2016-05-16,29,45,411,8,57.0,75.0,446.0,7.0,197.0,1.8,-0.007031666747490505
2016-05-17,55,78,1716,16,29.0,45.0,411.0,8.0,197.0,1.8,0.008879781420764994
2016-05-18,55,47,420,11,55.0,78.0,1716.0,16.0,197.0,1.8,-0.007798120701346573
2016-05-19,32,31,868,4,55.0,47.0,420.0,11.0,197.0,1.8,0.002298963020935232
2016-05-20,33,51,713,4,32.0,31.0,868.0,4.0,197.0,1.8,0.0006860727237086463
2016-05-23,34,61,769,4,33.0,51.0,713.0,4.0,197.0,1.8,0.002781573296896455
2016-05-24,65,56,487,11,34.0,61.0,769.0,4.0,197.0,1.8,-0.001459782978930383
2016-05-25,53,55,482,8,65.0,56.0,487.0,11.0,197.0,1.8,0.008245622544502194
2016-05-26,41,73,401,6,53.0,55.0,482.0,8.0,197.0,1.8,0.002923275986006679
